      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-11-17  235.69  208.72 226.73 260.82 288.54 319.31 346.33  375.73
2006-11-18  231.17  202.11 230.39 259.65 290.12 317.94 348.28  374.15
2006-11-19  232.43  206.42 238.93 258.04 289.88 320.89 351.80  370.31
2006-11-20  236.99  209.09 236.01 255.79 290.24 320.41 352.88  367.71
2006-11-21  240.26  209.27 238.36 258.24 290.89 323.34 348.09  373.21
2006-11-22  244.66  214.72 235.00 264.18 292.24 321.71 351.62  373.03
2006-11-23  242.87  220.43 236.81 268.20 293.55 321.25 351.36  375.63
2006-11-24  239.23  214.80 240.16 272.59 295.23 317.71 351.30  377.01
2006-11-25  235.14  210.09 238.02 274.18 296.46 317.39 351.29  377.08
2006-11-26  232.25  214.57 239.97 277.91 298.01 317.14 351.07  379.48
2006-11-27  232.55  218.36 246.72 280.43 298.55 319.79 351.83  381.37
2006-11-28  237.31  223.57 246.17 281.61 299.19 322.65 352.52  380.91
2006-11-29  241.46  230.03 244.66 281.21 299.61 320.69 351.59  376.16
2006-11-30  242.72  237.13 242.15 280.85 299.46 320.67 349.63  372.44
2006-12-01  242.93  233.24 245.55 278.08 298.13 322.39 345.92  368.82
2006-12-02  248.75  230.49 249.43 279.40 298.42 319.59 342.65  367.09
2006-12-03  262.74  227.01 253.65 277.69 299.34 319.65 339.26  365.61
2006-12-04  274.07  223.65 255.89 278.62 300.45 321.89 338.29  363.44
2006-12-05  282.89  227.69 264.58 282.13 302.41 320.34 340.07  360.87
2006-12-06  291.37  234.13 266.11 288.29 303.67 320.59 340.45  360.36
2006-12-07  292.11  242.59 268.21 289.40 304.47 320.63 340.86  358.17
2006-12-08  292.14  247.93 269.58 289.87 305.07 320.76 341.21  356.16
2006-12-09  291.66  249.96 272.05 293.68 305.43 318.18 340.81  353.94
2006-12-10  287.12  255.46 271.33 292.35 305.04 317.49 339.21  353.17
2006-12-11  281.74  257.41 270.14 293.26 304.43 315.75 336.13  352.92
2006-12-12  281.13  256.19 271.56 292.69 304.13 314.86 333.17  351.73
2006-12-13  282.08  254.28 274.39 293.70 304.63 313.80 331.62  350.63
2006-12-14  284.40  252.50 275.89 294.51 304.43 313.48 331.74  347.00
2006-12-15  288.57  255.36 277.35 294.71 304.28 314.24 331.63  346.34
2006-12-16  292.26  256.95 277.01 293.98 304.36 314.87 332.44  345.87
2006-12-17  294.10  256.89 276.08 294.26 304.11 313.58 330.45  342.84
2006-12-18  295.17  260.40 278.04 294.20 304.14 312.19 329.39  342.45
2006-12-19  296.74  259.68 283.15 293.71 304.29 311.17 327.36  341.19
